gameDate,player1Odds,player2Odds,playersNames,score,tournamentName
04 Mar 2017,1.39,3.01,Klaasen J. - Van der Voort V.,9:10,UK Open 2017 Results & Historical Odds
04 Mar 2017,1.74,2.09,van de Pas B. - Norris A.,5:10,UK Open 2017 Results & Historical Odds
04 Mar 2017,1.26,3.92,Dobey Ch. - Lukeman M.,5:10,UK Open 2017 Results & Historical Odds
04 Mar 2017,2.31,1.61,Searle R. - Cross R.,5:10,UK Open 2017 Results & Historical Odds
04 Mar 2017,1.24,1.24,Huybrechts K. - Evetts T.,10:1,UK Open 2017 Results & Historical Odds
04 Mar 2017,1.52,1.52,Price G. - Pallett D.,10:4,UK Open 2017 Results & Historical Odds
04 Mar 2017,2.41,1.57,Webster M. - Gurney D.,3:10,UK Open 2017 Results & Historical Odds
04 Mar 2017,2.07,1.76,Baxter R. - O'Connor W.,6:10,UK Open 2017 Results & Historical Odds
04 Mar 2017,1.96,1.96,Tabern A. - Michael J.,10:6,UK Open 2017 Results & Historical Odds
03 Mar 2017,1.06,9.66,Anderson G. - Hogan P.,9:10,UK Open 2017 Results & Historical Odds
03 Mar 2017,1.07,1.07,van Barneveld R. - Bates B.,10:6,UK Open 2017 Results & Historical Odds
03 Mar 2017,5.78,1.13,Caven J. - Chisnall D.,4:10,UK Open 2017 Results & Historical Odds
03 Mar 2017,1.78,1.78,Lewis A. - Wade J.,10:8,UK Open 2017 Results & Historical Odds
03 Mar 2017,1.39,1.39,Cross R. - Haines J.,10:5,UK Open 2017 Results & Historical Odds
03 Mar 2017,3.38,1.32,Henderson J. - Smith M.,4:10,UK Open 2017 Results & Historical Odds
03 Mar 2017,1.51,2.55,Kist C. - van Duijvenbode D.,5:10,UK Open 2017 Results & Historical Odds
03 Mar 2017,1.14,1.14,White I. - Barham P.,10:2,UK Open 2017 Results & Historical Odds
03 Mar 2017,1.90,1.90,Thornton R. - Cullen J.,2:10,UK Open 2017 Results & Historical Odds
03 Mar 2017,1.90,1.89,Gilding A. - Evetts T.,5:10,UK Open 2017 Results & Historical Odds
